ACC,RESP,RT,CorrectAns
0,,0,
1,p,547,p
0,,0,
0,,0,
0,,0,
0,,0,
0,,0,
1,p,802,p
1,q,786,q
0,,0,
1,p,555,p
0,q,619,p
0,p,660,q
1,p,631,p
1,q,563,q
1,q,625,q
1,p,604,p
1,q,569,q
1,q,616,q
0,q,550,p
